DeltaT,Amplitude
0.648939,0.020440348459035498
0.47802033999999993,0.04533428166789006
0.30257054000000005,0.02114271115845969
0.5279500800000001,0.02061210216030784
0.7722193399999993,0.04464684976260706
0.2966006600000006,0.020514043356600217
5.691999999957176e-05,0.020266235722991965
0.0017825400000002212,0.04090795033149623
0.009790419999999855,0.021377752206604296
0.000749939999999949,0.021109683036269734
0.00394015999999997,0.020477705991397036
0.01184940000000001,0.04048648655297767
1.0179999999859746e-05,0.020900501986803016
0.011610020000000443,0.02137171861249319
0.006469620000000287,0.04178369596117318
0.015910739999999812,0.020910203710063312
0.00037937999999959615,0.041429813096137094
0.004209939999999968,0.04108808103498375
0.0014503000000001265,0.0290254102390711
0.008030240000000077,0.02134459948652561
0.0036402000000004264,0.020950439216644624
0.011230059999999487,0.020760460012041248
0.0003399400000003716,0.020766152676789915
0.0015200399999999448,0.020510287454296453
1.9659999999976918e-05,0.0304051124919929
0.00952011999999991,0.020516504377589635
0.005739059999999796,0.0625505980583347
0.0002009400000000383,0.020115446955858717
0.0006601399999999202,0.020422653044428408
0.0032399800000004753,0.02133540407061882
0.003970079999999765,0.02175945306777982
0.0060800999999997,0.02033125311753562
0.010339840000000322,0.020497814506739914
0.000619920000000107,0.021660255481008226
0.002249359999999978,0.046347155744247116
0.001770619999999834,0.02080143371557303
1.9079999999949138e-05,0.04132267520882303
0.005881039999999782,0.020738269800731506
0.00807946000000026,0.04134454510041992
0.0014206199999997615,0.02095832558953161
0.011269680000000282,0.02072564568982159
0.018330260000000376,0.020372548314957818
0.02363913999999978,0.04065919736164149
0.0012906799999998775,0.02033606322672237
0.007450019999999835,0.021028318079819086
0.0015401000000001552,0.021507778962713702
0.02972006000000027,0.020787274661585125
0.018339739999999605,0.02025788072026245
0.00036902000000038626,0.06703367010627895
0.008891279999999835,0.0202908945993754
0.0197098200000001,0.021229561927339154
0.15553730000000002,0.0407252827208391
0.07720079999999999,0.02047877827075505
0.4176600400000001,0.021059944970746036
0.33021976,0.02099396233726041
0.7769919199999998,0.020115670744822546
0.0010000600000001914,0.02085465075861156
1.7747100799999995,0.020894033258918764
0.20609986000000013,0.020556182508317394
0.038859580000000005,0.04015438215476409
0.12166034000000003,0.020203017589109355
0.1333302199999995,0.02064251951810498
0.4810099600000006,0.020967445017418797
1.6604479200000002,0.023472381375999996
0.00029097999999994073,0.0819583341490147
0.0004909799999994746,0.02566647367195558
0.009670120000000004,0.021192983260619
0.01137984000000003,0.020726152682783647
0.009070120000000514,0.021333669003598548
0.0008900000000000574,0.020641949977354128
0.014340179999999592,0.021245417297301984
0.0022200200000002113,0.020424412923890734
0.0036598599999999593,0.020898021161896402
0.017049959999999587,0.019896023904801493
0.012459999999999916,0.020464608909460467
0.0030792400000008158,0.04204336369561932
0.005850499999999315,0.02123344291208354
0.0004899200000005877,0.020784524248363967
0.003220099999999171,0.020801096755785578
0.015670380000000428,0.02101179867404288
0.00660930000000004,0.04036053430062174
3.940000000035582e-06,0.04849210036206131
0.012676079999999423,0.03987915801287009
0.01646072000000043,0.021068701647397284
0.003049279999999932,0.04142515753083353
0.004140320000000308,0.02102978158945086
0.026050419999999797,0.02064526313773648
0.0001899400000002771,0.021306117558971344
0.03249989999999947,0.020408363724764577
0.019070040000000787,0.020540099883960772
7.753999999948746e-05,0.020153146740242805
0.012302540000000306,0.021147615807184477
0.010249780000000541,0.020898181083353323
0.020620019999999073,0.025958166126496502
0.04011989999999965,0.020526534841014254
0.0006397800000010889,0.02546749962910269
0.00236970000000003,0.040749842996120986
5.840000000034706e-06,0.04018508704144996
0.025794719999998605,0.020731154222879477
0.032649840000000374,0.01993226126020841
0.008850380000000158,0.020629489012098053
0.008400079999999477,0.020355370312557814
0.002679960000000925,0.02101058599557438
0.94873996,0.022110086170979263
0.4754691,0.06166158201480533
1.6161100199999996,0.06246651191934708
0.2363208600000002,0.021265909358024943
0.31614001999999974,0.020993324535849244
0.7529601000000001,0.019936570056584717
0.20282916000000029,0.041892229992874716
1.22374064,0.020404831613538486
0.12912829999999964,0.12333600137467378
0.19150164000000025,0.020180774278962983
0.4030602200000004,0.020973479958611967
0.7555800199999991,0.02063583157044451
0.6522985800000001,0.10388107515858108
0.10354093999999936,0.02089300237667287
0.1513085200000006,0.08621150873600003
1.32266188,0.02185650637455104
0.49473925999999935,0.0489704903771664
0.47397074000000217,0.020734274296207264
0.9988982999999987,0.13871381941669775
0.8631017199999995,0.020653837070206852
0.3558000400000001,0.02094389039137414
0.34099942000000105,0.041405930460743916
0.22110035999999944,0.020602032988052184
1.194100259999999,0.020683638987076213
0.16749982000000152,0.020627936461491116
0.12280007999999931,0.021117602183881094
