OV,Gain,Error,Relative,N,set,ch
7.0,9.139924694884192,798.4160571287995,0.0114475712421822,337.0,SET1,2.0
3.5,4.078588170205681,447.0182639940882,0.0091239855252527,337.0,SET1,3.0
4.5,5.5732962320393815,533.8678865621515,0.0104394670897489,337.0,SET1,3.0
7.0,9.05722965710685,652.3989747964263,0.0138829612047337,337.0,SET1,3.0
7.0,9.2619283988138,488.2931300598824,0.018967967863234,225.0,SET2,3.0
4.5,5.489157154094859,354.7814457393262,0.015471939753377,310.0,SET2,1.0
7.0,9.113196037096806,1828.7096583298123,0.0049834023654799,310.0,SET2,1.0
4.5,5.56137697976748,2672.444122334932,0.0020810077686146,310.0,SET2,2.0
7.0,9.15687293816928,752.0053299788171,0.0121766064323336,310.0,SET2,2.0
7.0,9.187022617018908,840.3266367682156,0.0109326804780947,310.0,SET2,3.0
7.0,9.145975288244314,1278.55462448211,0.0071533707775285,310.0,SET1,1.0
7.0,9.24001776726636,1202.1231802443638,0.0076864151021429,310.0,SET1,2.0
7.0,9.13736912665378,564.5251785688679,0.016185937268233,310.0,SET1,3.0
3.5,3.8799370158073416,inf,0.0,295.0,SET2,3.0
3.5,4.102620946783792,1075.027485733032,262.0343189579308,310.0,SET1,3.0
